"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3699","TC004: Transition to Projects page","webkit","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","3693","TC003: Login with incorrect data is blocked","chromium","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","3323","TC002: Site search works","webkit","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","4787","TC003: Login with incorrect data is blocked","webkit","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","2991","TC003: Login with incorrect data is blocked","firefox","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","3272","TC005: File downloads from Download page","firefox","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","2611","TC004: Transition to Projects page","chromium","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","2623","TC001: Home page successfully loaded","chromium","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","1933","TC001: Home page successfully loaded","firefox","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","2525","TC005: File downloads from Download page","chromium","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","3806","TC005: File downloads from Download page","webkit","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","1896","TC004: Transition to Projects page","firefox","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","2825","TC002: Site search works","chromium","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","1912","TC002: Site search works","firefox","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","7840","TC001: Home page successfully loaded","webkit","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
